Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_1,-7.83131,0.451406,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc(N3[C@@H](C)CCN3/C([O-])=C3/C=COC3)c1)OC=2O,-10.4,298.315646,0.682,(Gen_4_Cross_521466+Gen_4_Cross_2774)Gen_5_Cross_263158,Gen_5_Cross_263158,Gen_5_Cross_263158__5
ligand_2,-7.65859,0.55578,C[C@H]1CCN(/C([O-])=C2/C=COC2)[N@@H+]1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-10.2,335.24024,0.704,(Gen_3_Cross_379998+Gen_4_Mutant_7_455240)Gen_5_Cross_519174,Gen_5_Cross_519174,Gen_5_Cross_519174__1
ligand_3,-7.51212,0.42242,C[C@@H]1CCN([C@@H]2C=CS(=O)(=O)C2)N1c1cccc(N/C(O)=C/[C@H]2OC(=O)c3ccccc32)c1,-9.9,332.357885,0.675,(Gen_1_Mutant_18_832344+Gen_1_Mutant_93_709260)Gen_2_Cross_54563,Gen_2_Cross_54563,Gen_2_Cross_54563__3
ligand_4,-7.48586,0.490724,C[C@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-9.8,344.204784,0.704,(Gen_3_Cross_379998+Gen_3_Cross_59669)Gen_4_Cross_2774,Gen_4_Cross_2774,Gen_4_Cross_2774__2
ligand_5,-8.06667,0.498685,C[C@H]1CCN([C@@H]2C=CS(=O)(=O)C2)[N@H+]1c1cccc(N/C(O)=C/[C@H]2OC(=O)c3ccccc32)c1,-9.7,325.054282,0.675,(Gen_4_Cross_2774+Gen_2_Cross_54563)Gen_5_Cross_327267,Gen_5_Cross_327267,Gen_5_Cross_327267__5
ligand_6,-7.68384,0.490456,C[C@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-9.7,343.500276,0.704,(Gen_2_Cross_664731+Gen_2_Mutant_13_824977)Gen_3_Cross_379998,Gen_3_Cross_379998,Gen_3_Cross_379998__2
ligand_10,-7.56667,0.519129,C[C@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc(/N=C(/O)[C@@]2(C)Cc3ccccc3C(=O)O2)c1,-9.5,345.741306,0.704,(Gen_4_Mutant_65_380035+Gen_3_Cross_379998)Gen_5_Cross_498135,Gen_5_Cross_498135,Gen_5_Cross_498135__5
ligand_11,-7.24545,0.391648,O=C1O[C@@H](C(=O)[N-][C@@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@@H]23)Cc2ccccc21,-9.5,350.735551,0.798,(Gen_1_Cross_274180+Gen_1_Cross_894131)Gen_2_Cross_799820,Gen_2_Cross_799820,Gen_2_Cross_799820__1
ligand_16,-7.17778,0.363639,O=C1O[C@@H](C(=O)[N-][C@@H]2CCC[C@@]3(n4cn[nH+]n4)CCCC[C@@H]23)Cc2ccccc21,-9.5,349.035361,0.798,(Gen_3_Cross_830159+Gen_2_Cross_799820)Gen_4_Cross_542054,Gen_4_Cross_542054,Gen_4_Cross_542054__4
ligand_17,-7.73737,0.391213,[H]/N=C(\C)[C@@H](O)N1CC[C@@H](C)[N@H+]1c1cccc(NC(=O)[C@@]2(C)Cc3cc(=C)ccc3=C(O)O2)c1,-9.5,281.981497,0.694,(Gen_1_Cross_239918+ZINC000054954749)Gen_2_Mutant_23_762743,Gen_2_Mutant_23_762743,Gen_2_Mutant_23_762743__4
ligand_18,-7.88182,0.474898,C[C@@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc([N-]C(=O)[C@@]2(C)Cc3ccccc3C(=O)O2)c1,-9.4,344.204784,0.704,(Gen_4_Cross_2774+Gen_3_Mutant_7_757634)Gen_5_Cross_489560,Gen_5_Cross_489560,Gen_5_Cross_489560__3
ligand_19,-7.25657,0.406801,C[C@H]1CCN(C(=O)C2=CCOC2)N1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-9.4,348.920537,0.704,(Gen_4_Mutant_7_725775+Gen_4_Cross_2774)Gen_5_Cross_892417,Gen_5_Cross_892417,Gen_5_Cross_892417__1
ligand_20,-7.44747,0.601739,C[C@@]1(C(=O)NC2=CC/C(=N\C(=O)C3CCC3)[C@@]3(O)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,-9.4,343.48543,0.693,(Gen_4_Mutant_26_239658+Gen_4_Cross_395690)Gen_5_Cross_842637,Gen_5_Cross_842637,Gen_5_Cross_842637__1
